Angle Intensity Error
25.840 2609.000 1.000
25.860 2638.000 1.000
25.880 2661.000 1.000
25.900 2690.000 1.000
25.920 2764.000 1.000
25.940 2819.000 1.000
25.960 2851.000 1.000
25.980 2874.000 1.000
26.000 2926.000 1.000
26.020 3015.000 1.000
26.040 3069.000 1.000
26.060 3014.000 1.000
26.080 3079.000 1.000
26.100 3199.000 1.000
26.120 3273.000 1.000
26.140 3337.000 1.000
26.160 3501.000 1.000
26.180 3525.000 1.000
26.200 3815.000 1.000
26.220 3956.000 1.000
26.240 4097.000 1.000
26.260 4383.000 1.000
26.280 4809.000 1.000
26.300 5298.000 1.000
26.320 5747.000 1.000
26.340 6380.000 1.000
26.360 7226.000 1.000
26.380 8182.000 1.000
26.400 9062.000 1.000
26.420 9878.000 1.000
26.440 10715.000 1.000
26.460 11028.000 1.000
26.480 11164.000 1.000
26.500 10794.000 1.000
26.520 10195.000 1.000
26.540 9197.000 1.000
26.560 7852.000 1.000
26.580 6658.000 1.000
26.600 5499.000 1.000
26.620 4492.000 1.000
26.640 3649.000 1.000
26.660 3013.000 1.000
26.680 2535.000 1.000
26.700 2198.000 1.000
26.720 2042.000 1.000
26.740 1805.000 1.000
26.760 1680.000 1.000
26.780 1612.000 1.000
26.800 1475.000 1.000
26.820 1351.000 1.000
26.840 1304.000 1.000
26.860 1212.000 1.000
26.880 1149.000 1.000
26.900 1130.000 1.000
26.920 1095.000 1.000
26.940 1084.000 1.000
26.960 1013.000 1.000
26.980 1014.000 1.000
27.000 955.000 1.000
27.020 903.000 1.000
27.040 870.000 1.000
27.060 820.000 1.000
27.080 794.000 1.000
27.100 812.000 1.000
27.120 806.000 1.000
27.140 772.000 1.000
27.160 729.000 1.000
27.180 740.000 1.000
27.200 730.000 1.000
27.220 705.000 1.000
27.240 684.000 1.000
27.260 682.000 1.000
27.280 615.000 1.000
27.300 640.000 1.000
27.320 601.000 1.000
27.340 618.000 1.000
27.360 612.000 1.000
27.380 631.000 1.000
27.400 596.000 1.000
27.420 596.000 1.000
27.440 599.000 1.000
27.460 561.000 1.000
27.480 567.000 1.000
27.500 527.000 1.000
27.520 499.000 1.000
27.540 518.000 1.000
27.560 531.000 1.000
27.580 488.000 1.000
27.600 524.000 1.000
27.620 509.000 1.000
27.640 494.000 1.000
27.660 470.000 1.000
27.680 466.000 1.000
27.700 461.000 1.000
27.720 482.000 1.000
27.740 484.000 1.000
27.760 459.000 1.000
27.780 471.000 1.000
27.800 471.000 1.000
27.820 483.000 1.000
27.840 425.000 1.000
27.860 428.000 1.000
27.880 432.000 1.000
27.900 435.000 1.000
27.920 423.000 1.000
27.940 405.000 1.000
27.960 433.000 1.000
27.980 447.000 1.000
28.000 420.000 1.000
28.020 401.000 1.000
28.040 387.000 1.000
28.060 388.000 1.000
28.080 407.000 1.000
28.100 416.000 1.000
28.120 412.000 1.000
28.140 397.000 1.000
28.160 379.000 1.000
28.180 372.000 1.000
28.200 374.000 1.000
28.220 387.000 1.000
28.240 412.000 1.000
28.260 379.000 1.000
28.280 353.000 1.000
28.300 345.000 1.000
28.320 358.000 1.000
28.340 378.000 1.000
28.360 391.000 1.000
28.380 383.000 1.000
28.400 395.000 1.000
28.420 374.000 1.000
28.440 346.000 1.000
28.460 356.000 1.000
28.480 367.000 1.000
28.500 353.000 1.000
28.520 360.000 1.000
28.540 365.000 1.000
28.560 370.000 1.000
28.580 367.000 1.000
28.600 357.000 1.000
28.620 364.000 1.000
28.640 352.000 1.000
28.660 355.000 1.000
28.680 353.000 1.000
28.700 349.000 1.000
28.720 342.000 1.000
28.740 338.000 1.000
28.760 329.000 1.000
28.780 303.000 1.000
28.800 320.000 1.000
